t,T
0,300
0.125,300
0.25,300.001
0.375,300.003
0.5,300.009
0.625,300.019
0.75,300.031
0.875,300.045
1,300.061
1.125,300.078
1.25,300.096
1.375,300.115
1.5,300.135
1.625,300.155
1.75,300.175
1.875,300.196
2,300.217
2.125,300.238
2.25,300.259
2.375,300.28
2.5,300.301
2.625,300.322
2.75,300.343
2.875,300.364
3,300.385
3.125,300.406
3.25,300.427
3.375,300.447
3.5,300.467
3.625,300.488
3.75,300.508
3.875,300.528
4,300.548
4.125,300.568
4.25,300.587
4.375,300.607
4.5,300.626
4.625,300.645
4.75,300.664
4.875,300.683
5,300.702
5.125,300.721
5.25,300.739
5.375,300.758
5.5,300.776
5.625,300.794
5.75,300.812
5.875,300.83
6,300.848
6.125,300.865
6.25,300.883
6.375,300.9
6.5,300.918
6.625,300.935
6.75,300.952
6.875,300.969
7,300.986
7.125,301.003
7.25,301.019
7.375,301.036
7.5,301.052
7.625,301.069
7.75,301.085
7.875,301.101
8,301.117
8.125,301.133
8.25,301.149
8.375,301.165
8.5,301.181
8.625,301.196
8.75,301.212
8.875,301.227
9,301.242
9.125,301.258
9.25,301.273
9.375,301.288
9.5,301.303
9.625,301.318
9.75,301.333
9.875,301.347
10,301.362
10.125,301.377
10.25,301.392
10.375,301.408
10.5,301.425
10.625,301.443
10.75,301.462
10.875,301.482
11,301.502
11.125,301.523
11.25,301.543
11.375,301.565
11.5,301.586
11.625,301.607
11.75,301.629
11.875,301.65
12,301.672
12.125,301.693
12.25,301.715
12.375,301.736
12.5,301.758
12.625,301.779
12.75,301.801
12.875,301.822
13,301.843
13.125,301.865
13.25,301.886
13.375,301.907
13.5,301.929
13.625,301.95
13.75,301.971
13.875,301.993
14,302.014
14.125,302.036
14.25,302.058
14.375,302.08
14.5,302.102
14.625,302.125
14.75,302.147
14.875,302.171
15,302.194
15.125,302.218
15.25,302.242
15.375,302.267
15.5,302.292
15.625,302.318
15.75,302.344
15.875,302.371
16,302.399
16.125,302.428
16.25,302.458
16.375,302.488
16.5,302.52
16.625,302.552
16.75,302.586
16.875,302.621
17,302.658
17.125,302.696
17.25,302.735
17.375,302.776
17.5,302.819
17.625,302.863
17.75,302.909
17.875,302.958
18,303.008
18.125,303.061
18.25,303.116
18.375,303.174
18.5,303.234
18.625,303.297
18.75,303.363
18.875,303.431
19,303.503
19.125,303.578
19.25,303.657
19.375,303.739
19.5,303.825
19.625,303.914
19.75,304.008
19.875,304.106
20,304.208
20.125,304.315
20.25,304.427
20.375,304.543
20.5,304.665
20.625,304.792
20.75,304.924
20.875,305.062
21,305.206
21.125,305.356
21.25,305.512
21.375,305.675
21.5,305.845
21.625,306.021
21.75,306.205
21.875,306.396
22,306.595
22.125,306.802
22.25,307.017
22.375,307.24
22.5,307.472
22.625,307.713
22.75,307.962
22.875,308.222
23,308.491
23.125,308.769
23.25,309.059
23.375,309.358
23.5,309.668
23.625,309.99
23.75,310.322
23.875,310.666
24,311.023
24.125,311.391
24.25,311.772
24.375,312.165
24.5,312.572
24.625,312.991
24.75,313.425
24.875,313.873
25,314.335
25.125,314.811
25.25,315.302
25.375,315.809
25.5,316.331
25.625,316.869
25.75,317.423
25.875,317.994
26,318.581
26.125,319.186
26.25,319.808
26.375,320.448
26.5,321.105
26.625,321.782
26.75,322.477
26.875,323.191
27,323.924
27.125,324.677
27.25,325.451
27.375,326.244
27.5,327.058
27.625,327.893
27.75,328.75
27.875,329.628
28,330.528
28.125,331.45
28.25,332.394
28.375,333.362
28.5,334.352
28.625,335.366
28.75,336.404
28.875,337.466
29,338.552
29.125,339.662
29.25,340.798
29.375,341.958
29.5,343.144
29.625,344.356
29.75,345.593
29.875,346.857
30,348.147
30.125,349.464
30.25,350.807
30.375,352.178
30.5,353.576
30.625,355.002
30.75,356.456
30.875,357.937
31,359.447
31.125,360.986
31.25,362.553
31.375,364.149
31.5,365.774
31.625,367.429
31.75,369.114
31.875,370.83
32,372.575
32.125,374.352
32.25,376.16
32.375,377.999
32.5,379.871
32.625,381.774
32.75,383.71
32.875,385.679
33,387.682
33.125,389.718
33.25,391.788
33.375,393.892
33.5,396.031
33.625,398.204
33.75,400.413
33.875,402.658
34,404.939
34.125,407.257
34.25,409.611
34.375,412.002
34.5,414.431
34.625,416.898
34.75,419.402
34.875,421.946
35,424.528
35.125,427.148
35.25,429.81
35.375,432.511
35.5,435.25
35.625,438.032
35.75,440.855
35.875,443.715
36,446.615
36.125,449.553
36.25,452.529
36.375,455.543
36.5,458.59
36.625,461.673
36.75,464.793
36.875,467.949
37,471.138
37.125,474.362
37.25,477.62
37.375,480.911
37.5,484.235
37.625,487.59
37.75,490.976
37.875,494.392
38,497.836
38.125,501.307
38.25,504.805
38.375,508.326
38.5,511.87
38.625,515.434
38.75,519.016
38.875,522.615
39,526.228
39.125,529.852
39.25,533.484
39.375,537.123
39.5,540.767
39.625,544.411
39.75,548.052
39.875,551.692
40,555.327
40.125,558.956
40.25,562.577
40.375,566.188
40.5,569.786
40.625,573.372
40.75,576.948
40.875,580.51
41,584.054
41.125,587.581
41.25,591.091
41.375,594.585
41.5,598.061
41.625,601.518
41.75,604.957
41.875,608.377
42,611.781
42.125,615.165
42.25,618.532
42.375,621.882
42.5,625.215
42.625,628.532
42.75,631.831
42.875,635.115
43,638.384
43.125,641.639
43.25,644.881
43.375,648.11
43.5,651.327
43.625,654.533
43.75,657.728
43.875,660.91
44,664.082
44.125,667.247
44.25,670.403
44.375,673.55
44.5,676.688
44.625,679.818
44.75,682.938
44.875,686.052
45,689.159
45.125,692.258
45.25,695.351
45.375,698.437
45.5,701.517
45.625,704.591
45.75,707.661
45.875,710.724
46,713.783
46.125,716.836
46.25,719.885
46.375,722.929
46.5,725.971
46.625,729.01
46.75,732.045
46.875,735.076
47,738.104
47.125,741.129
47.25,744.151
47.375,747.172
47.5,750.192
47.625,753.21
47.75,756.227
47.875,759.241
48,762.254
48.125,765.265
48.25,768.275
48.375,771.286
48.5,774.297
48.625,777.308
48.75,780.316
48.875,783.324
49,786.332
49.125,789.34
49.25,792.348
49.375,795.358
49.5,798.366
49.625,801.371
49.75,804.373
49.875,807.377
50,810.381
50.125,813.385
50.25,816.389
50.375,819.391
50.5,822.389
