t (s),q_cond (W/cm2),q_inc (W/cm2),T_s (K)
0,0.0292012154780669,0.0294451610789229,300.496727453657
0.25,0.0195424504826486,0.0198035845530992,300.531634227725
0.5,0.0237204699452948,0.0240619316387598,300.694604545138
0.75,0.0249987519595412,0.0254049591241603,300.825768878298
1,0.0241988831455308,0.0246497983898195,300.916240508424
1.25,0.0250396247360824,0.0255407079401263,301.017663733076
1.5,0.0251214204527488,0.0256656724178289,301.104854876203
1.75,0.024447773949144,0.025025789683171,301.172997309879
2,0.0248845972581973,0.0255008263186864,301.250064136434
2.25,0.0251360390168865,0.0257887561095263,301.32359631082
2.5,0.0257376450558106,0.0264288910909613,301.401183022749
2.75,0.0236985719558235,0.0244064017800643,301.434559783591
3,0.0252152684988211,0.0259609599277787,301.510719044084
3.25,0.0255632351546396,0.0263420505315084,301.577301128603
3.5,0.0240845200536405,0.0248807465683533,301.612281390783
3.75,0.0251200311015301,0.0259485270073888,301.677080818269
4,0.0247020494124443,0.0255539659796357,301.724085175835
4.25,0.0250423153791388,0.0259216065545876,301.778997122088
4.5,0.0247224218986947,0.0256241009515729,301.823883691199
4.75,0.0250420275712206,0.0259696330203587,301.875839800944
5,0.0247058471575691,0.0256544553161842,301.917909256361
5.25,0.0250101551101955,0.0259833630154017,301.967161402146
5.5,0.0246584180140508,0.0256513412187572,302.006616809378
5.75,0.0249472433370262,0.0259635210863673,302.053335286173
6,0.0245800051559036,0.0256147833505693,302.090328231565
6.25,0.0248548375255546,0.025911800613604,302.134670578952
6.5,0.0244780801284765,0.0255524407859498,302.169430546068
6.75,0.0245826616296714,0.0256767733949358,302.208878297683
7,0.0254351021034614,0.0265555704016939,302.261494636343
7.25,0.0244515434151226,0.0255853976365395,302.288206838909
7.5,0.0246388377904529,0.0257917993133025,302.326324041181
7.75,0.025459996766576,0.026638181921616,302.376620658355
8,0.0246122254960715,0.0258040317603351,302.403771092193
8.25,0.0235425285028055,0.0247423437878462,302.419731752251
8.5,0.0254320285903465,0.0266614315266853,302.478673169556
8.75,0.0249037296661377,0.0261492584796105,302.51078294978
9,0.0246433895627018,0.0259044931764787,302.541785724443
9.25,0.0241734824203815,0.0254471814799245,302.566850908133
9.5,0.0248910650738534,0.0261857680834754,302.608635329934
9.75,0.0282548786074891,0.0295958146136302,302.700548479468
10,0.0318036713402583,0.0332035308783606,302.817569729312
10.25,0.033803884113437,0.0352589552913726,302.927096237314
10.5,0.0331452937480117,0.0346355013945091,302.99673666093
10.75,0.0344232474387096,0.0359588067000883,303.086552560029
11,0.0343958809173653,0.0359677688898104,303.158441634352
11.25,0.0336897610495239,0.0352894753825379,303.213471262726
11.5,0.0340747276997258,0.035707358266788,303.278528005182
11.75,0.0342661186163714,0.0359304243994136,303.341092454486
12,0.0346369359407558,0.0363340163979998,303.405787813518
12.25,0.0336211665166258,0.0353393234644498,303.44736976369
12.5,0.0349293966092638,0.0366839553338943,303.519146842593
12.75,0.0358052379626646,0.0375968447196141,303.592145960436
13,0.034219948862212,0.0360291867873102,303.626867774304
13.25,0.0354947052894695,0.0373391382696048,303.696143301307
13.5,0.037311350683623,0.0392000844196682,303.783274528034
13.75,0.0368330458170251,0.0387514829251699,303.841653495413
14,0.0374938175753984,0.0394479825338511,303.911828414142
14.25,0.0398778312001856,0.0418837935472866,304.01348010025
14.5,0.0404506661603988,0.0424997197097506,304.097968380233
14.75,0.0417410004711079,0.0438386210414416,304.193108681446
15,0.0434787408727698,0.0456310490925941,304.300132236635
15.25,0.0455812135061174,0.0477948949706613,304.420105162702
15.5,0.049052289273091,0.0513435418497697,304.571539162795
15.75,0.0508207774135831,0.0531833619112997,304.710593959332
16,0.0530173522765959,0.0554561919133454,304.859035868908
16.25,0.0581576444906728,0.0607014763208398,305.063064565169
16.5,0.0613619206908455,0.0640071704604056,305.259759559493
16.75,0.0660706741347254,0.0688347626363077,305.489758562669
17,0.069976666606357,0.0728621801069488,305.724227653354
17.25,0.0761298478199141,0.0791621340726431,306.006924496013
17.5,0.0828927979933743,0.0860907166365353,306.325008501988
17.75,0.0891008027869168,0.0924733612050971,306.659320776861
18,0.0967774011960218,0.100348000317581,307.037111166234
18.25,0.103602396515629,0.1073785443047,307.427754779298
18.5,0.113418162163399,0.117437025955095,307.887125510135
18.75,0.123283889312719,0.12756699135977,308.384903220159
19,0.132609816561235,0.137171117032362,308.906387608475
19.25,0.144280559773169,0.149156546776999,309.493103431682
19.5,0.157773534529718,0.163004199435731,310.150406004923
19.75,0.170254813005954,0.175859043991271,310.838223735455
20,0.184048526919148,0.190060084185693,311.583035587648
20.25,0.200253545292317,0.206720578656975,312.409616525761
20.5,0.216362379061732,0.223317535103835,313.288222478339
20.75,0.235198839622793,0.242698318179609,314.259349759148
21,0.253542057240917,0.261620937017625,315.283266658281
21.25,0.273825558427724,0.282537335891537,316.390442300705
21.5,0.296721890215064,0.306133286339022,317.600965872094
21.75,0.319229291110507,0.32938649276473,318.87634589047
22,0.34313127667341,0.35409336092967,320.235800708113
22.25,0.371475033086711,0.383336234127609,321.734227576766
22.5,0.398945715576736,0.411764315197114,323.307103809796
22.75,0.426840198527709,0.440679898305307,324.959719929378
23,0.459780275351101,0.474753516887006,326.765269776104
23.25,0.494144428749034,0.51034809167486,328.691846729763
23.5,0.527981109499137,0.545494164063567,330.705541763936
23.75,0.564883481513753,0.583818968183586,332.852191921089
24,0.60385834438268,0.624332952959364,335.129102750397
24.25,0.646384331405047,0.668540322852915,337.564558714567
24.5,0.688308394789724,0.712256851640152,340.104152496601
24.75,0.734756747397764,0.760663531237204,342.815231610169
25,0.782959006047012,0.810981809795441,345.674092679979
25.25,0.832518254600588,0.862817971746159,348.673123670776
25.5,0.88610863240984,0.918887269704587,351.85258869826
25.75,0.939931887306818,0.975366983763848,355.166741324483
26,0.999051089969772,1.03738831971812,358.684422129089
26.25,1.05830139140283,1.09975191615626,362.346436226156
26.5,1.12184960752042,1.16668373166278,366.20441071493
26.75,1.18665231163117,1.23512900716768,370.225763917311
27,1.25573405181608,1.30816823552811,374.451215864006
27.25,1.32710513571283,1.38381713183109,378.86334733764
27.5,1.39936284165019,1.4606718310775,383.438931404234
27.75,1.477445727807,1.54376401538101,388.245225977225
28,1.55781158776831,1.62954777200826,393.250198545504
28.25,1.63992962882796,1.71750879051161,398.44194547553
28.5,1.72517250338505,1.8090693179372,403.83614557497
28.75,1.81326598024281,1.90399057371609,409.432700749255
29,1.9053632674048,2.00348832149121,415.250234169425
29.25,2.0001240649539,2.10625010467561,421.276421976605
29.5,2.09641295921198,2.2111601091302,427.492698989131
29.75,2.19747492205071,2.32156908926465,433.939475635665
30,2.30167178179847,2.4358783718298,440.605074255695
30.25,2.40618870067234,2.55126648751922,447.448701098701
30.5,2.51678125378722,2.67366006692015,454.538626986815
30.75,2.62910891222258,2.79871769525764,461.832086356643
31,2.74632055553133,2.92972670838916,469.365415022111
31.25,2.86812855055977,3.06649771234268,477.144971602799
31.5,2.99335446287877,3.20792495384002,485.160277354736
31.75,3.12239015421902,3.35450747269821,493.415319893462
32,3.25480244710255,3.50591021176051,501.906059400537
32.25,3.3941087722535,3.66588252457435,510.681144796623
32.5,3.5350757629737,3.82919603021942,519.686724661689
32.75,3.6795190476762,3.9978298486105,528.93472400358
33,3.82921563550421,4.17377676009975,538.449609111457
33.25,3.98571749917008,4.35885056804202,548.262424157514
33.5,4.14496790949451,4.54907373336446,558.335661313245
33.75,4.30640231762231,4.74402938314775,568.655177870785
34,4.47347240721275,4.94750869443263,579.259854857306
34.25,4.6456924738957,5.15929619667244,590.157461794633
34.5,4.81834809727416,5.37473953044653,601.2964005079
34.75,4.99309573839775,5.59577672371019,612.683850848196
35,5.17334456542469,5.82628671130531,624.363597157034
35.25,5.33747595676114,6.04378226160745,636.078484980303
35.5,5.49824379017495,6.26152830623986,647.901073703781
35.75,5.65505176557395,6.47905692719692,659.813689145761
36,5.80567561323575,6.69415151640293,671.778033498624
36.25,5.95808786398014,6.91538696871772,683.863623662229
36.5,6.10523207696514,7.13551267328225,695.994049708957
36.75,6.24682880673297,7.35417890451727,708.125125217363
37,6.384721940356,7.57334895324612,720.247688479172
37.25,6.51982736408227,7.79387171230523,732.327203018673
37.5,6.64934792875747,8.0125864111672,744.297031689573
37.75,6.77537207348795,8.23142895065832,756.130674443908
38,6.90065749618315,8.45307986495484,767.815921562432
38.25,7.02537347097696,8.67749541233406,779.327106220576
38.5,7.14653750251373,8.90138939391378,790.634376890116
38.75,7.26366183115144,9.12372840488537,801.691444934424
39,7.37401796363845,9.34178644032162,812.515002115419
39.25,7.49001988619158,9.56884560562634,823.204455839879
39.5,7.59396912192837,9.78598383665904,833.649622592879
39.75,7.68651838682256,9.99373670724527,843.856073600011
40,7.78911953696015,10.2158094195897,854.033526284373
40.25,7.86644679259841,10.413142808664,863.862009314813
40.5,7.92888408814092,10.5969168381649,873.430828016997
40.75,8.00603123563902,10.7998756917416,882.998979740488
41,8.05971887013743,10.9795187342872,892.228052502898
41.25,8.11715291788268,11.1666655350814,901.403297392209
41.5,8.17369676869641,11.3556450412405,910.444581005666
41.75,8.22682052347484,11.5440251122085,919.356539327737
42,8.28875919003102,11.7465530882127,928.305469782822
42.25,8.34708608338516,11.9491322605482,937.167980421249
42.5,8.40333895126717,12.1534030419138,945.949237395738
42.75,8.47439957072807,12.37927602695,954.839848916382
43,8.54753021959073,12.6131729921015,963.770460554593
43.25,8.59380164838167,12.8204179289676,972.403231246009
43.5,8.66596202520582,13.0616264057763,981.19310177687
43.75,8.73862604251182,13.3089194900952,989.98695048325
44,8.79787695802765,13.5457794769896,998.64343996704
44.25,8.87337157849194,13.8061344308504,1007.39073345158
44.5,8.9521884552368,14.0747576265073,1016.11867344769
44.75,9.01279273485994,14.326063366763,1024.63650120828
45,9.11044491275703,14.6251358977405,1033.42189783378
45.25,9.22590729091773,14.9504056526999,1042.35189019384
45.5,9.32816704313557,15.2655340366144,1051.17778943882
45.75,9.4059042656548,15.5535795588879,1059.66104258171
46,9.53033558366012,15.9015969988695,1068.49171525668
46.25,9.68182836560667,16.2893657318297,1077.62045158958
46.5,9.80259704731619,16.646064114148,1086.51420123666
46.75,9.92565960658577,17.0112809014835,1095.42582193236
47,10.0801733740862,17.4220430547139,1104.63993295269
47.25,10.2485272244347,17.8595558086635,1114.09345315253
47.5,10.4285936142089,18.3217938997914,1123.77534691251
47.75,10.5822570873305,18.7600517227095,1133.30744246695
48,10.7436374484442,19.2190408511934,1143.05636924175
48.25,10.922554227175,19.7104516329278,1153.04099037878
48.5,11.1085714169252,20.224050820907,1163.24386350955
48.75,11.2454829095189,20.6859068711818,1173.09980842811
49,11.368315459225,21.1327141907646,1182.68676343125
49.25,11.5378814939641,21.6474400579791,1192.67793663131
49.5,11.6997785467534,22.1638535410337,1202.69425148564
49.75,11.77543048521,22.5722391205363,1211.85137320462
50,11.8548189142581,22.9855256412326,1220.83559766976
50.25,12.0048798755435,23.5009977479873,1230.46773738856
50.5,12.1440803687988,24.0168384830638,1240.17433153555
50.75,12.2715279423406,24.528266911863,1249.85179436564
51,12.3708181874915,25.0083546293292,1259.24042214117
51.25,12.451392537628,25.4666359098399,1268.34814040358
51.5,12.5463930177426,25.9481851393083,1277.47170167813
51.75,12.6245159384629,26.4089986407306,1286.313562067
52,12.6553116265209,26.8005056860737,1294.47697472391
52.25,12.6330653528975,27.1067276597659,1301.76934037199
52.5,12.6493890902281,27.4571366316351,1309.07004443303
52.75,12.657304036705,27.7916126042711,1316.09423176266
53,12.6864817405867,28.1534326545163,1323.14230110639
53.25,12.7442840716253,28.5602920619588,1330.42319490727
53.5,12.7648245288059,28.9176911281847,1337.3342496729
53.75,12.7677360225419,29.2456679661298,1343.90032749686
54,12.8023008182631,29.6163366450809,1350.59384003247
54.25,12.8683803139836,30.0385238131067,1357.58556639248
54.5,12.9294410380075,30.4621880791373,1364.59914631001
54.75,12.9787524108019,30.8719106117548,1371.4668241942
55,13.0243695582446,31.2754903534009,1378.18940284561
55.25,13.0405976548691,31.6324290109827,1384.4980231538
55.5,12.9771561407173,31.8585939601625,1389.78700035095
55.75,12.9194142176152,32.0708050196104,1394.65954235065
56,12.9419069486447,32.3908249482965,1399.97725794616
56.25,12.9788477225369,32.7363348372159,1405.43134391952
56.5,12.9748413503253,33.0229265730458,1410.50771899917
56.75,12.9045284408012,33.2001573852761,1414.78232397124
57,12.8259083002709,33.3448376090216,1418.60156412249
57.25,12.7869061225395,33.5349879412339,1422.49162098896
57.5,12.8020480210834,33.8060656269091,1426.80562025338
57.75,12.8674269195686,34.1643784149726,1431.70328593695
58,12.8670950542108,34.4343662559938,1436.17667661786
58.25,12.8291317308145,34.64175585108,1440.19871211643
58.5,12.7862186533005,34.8298941283674,1443.95508034423
58.75,12.7900192810532,35.0831649243894,1447.98264036447
59,12.8066733378677,35.3590906836542,1452.13594673146
59.25,12.8287612872017,35.647818529497,1456.37159830759
59.5,12.8612413832683,35.9595345097781,1460.76952388206
59.75,12.8585773708032,36.2212267177146,1464.89538022261
60,12.8200078299662,36.4203051684486,1468.57222376876
60.25,12.8174289127602,36.666796143944,1472.39791678434
60.5,12.7951062570093,36.8801447573988,1475.98938531493
60.75,12.7060775287308,36.9777179172664,1478.80954510956
61,12.6617398830019,37.1278009923831,1481.73229608681
61.25,12.6396124940437,37.3087588011363,1484.76847051594
61.5,12.6176628902081,37.4918114419882,1487.81517959176
61.75,12.5695739607675,37.632173950175,1490.59799001785
62,12.5055706759488,37.7391458509082,1493.10763256525
62.25,12.4438569848622,37.8405304629572,1495.48934504719
62.5,12.3661054518339,37.9074747543782,1497.59093804125
62.75,12.3266000391187,38.0275451578596,1499.90101802792
63,12.2714130708852,38.1200854398094,1502.02914658835
63.25,12.2522262882986,38.2671032454678,1504.41558012986
63.5,12.2050620107737,38.3700431907671,1506.55989173518
63.75,12.1321468956904,38.4246117921801,1508.37183549633
64,12.0989503620718,38.5384154018441,1510.45626724944
64.25,12.0463380556939,38.6230801108635,1512.39461745108
64.5,11.974629286715,38.671823794361,1514.08805945962
64.75,11.9334893587187,38.7641094182405,1515.95951155826
65,11.8631806802539,38.806863529249,1517.53838168373
65.25,11.8282677362266,38.9022525742116,1519.35412113353
65.5,11.7601326470015,38.9429428977292,1520.86368405359
65.75,11.7033309943749,38.9950309644894,1522.36984371148
66,11.674609279137,39.0919707380515,1524.10451314975
66.25,11.6132107499859,39.1365357300862,1525.56097277629
66.5,11.5387243662682,39.1513283134117,1526.78321620467
66.75,11.4871606878238,39.197216343661,1528.11524570905
67,11.4321460214909,39.2365808619411,1529.40179996374
67.25,11.3524987485493,39.2305785730865,1530.40124457289
67.5,11.3174284021541,39.2923361119859,1531.71590196275
67.75,11.2401773064662,39.2852084818404,1532.66318026212
68,11.1577747354571,39.2594392618495,1533.42517815055
68.25,11.0816610239711,39.2344983016341,1534.11197201637
68.5,10.9816484258235,39.1603111091707,1534.45360312514
68.75,10.9042930733459,39.111538691454,1534.83268172584
69,10.8201211507694,39.0453876690959,1535.06830208438
69.25,10.7602526269026,39.0141646721319,1535.44817590433
69.5,10.6646484181395,38.9207453469306,1535.46913756037
69.75,10.6033186474156,38.8758555657313,1535.68363687448
70,10.5401547884816,38.8279538335289,1535.88228084487
70.25,10.4455831191635,38.7238445831099,1535.74493835696
70.5,10.3834689262059,38.6654905420196,1535.7880628667
70.75,10.3071970393972,38.5821155166788,1535.68411603903
71,10.2006858223854,38.4399635659998,1535.193210636
71.25,10.1172591739578,38.3236792646135,1534.73985324241
71.5,10.0252028094042,38.1869247853331,1534.125312345
71.75,9.93971934454643,38.05387105695,1533.4711403958
